GPS NS,GPS EW
40.652921,-73.7994856
40.652921,-73.7994856
40.652921,-73.7994856
40.652921,-73.7994856
40.652921,-73.7994856
21.312018,-157.922573
25.796387,-80.286198
29.992127,-90.259129
49.009775,2.547442
55.410179,37.9022419
-17.560491,-149.611269
25.779314,-80.131086
29.885135,-89.46708
46.480528,7.279708
60.715654,28.728723
